Label,abv,degree,sweet,acidity,body,tannin,price,year
Fortified0,20,19,5,1,4,2,66000,13
Fortified0,19,19,5,1,4,2,44000,0
Fortified0,19,15.5,5,1,4,2,44000,0
Fortified0,20,15.5,4,1,5,2,77000,0
Fortified0,20,15.5,4,1,4,2,160000,0
Fortified0,20,15.5,4,1,4,2,300000,0
Fortified0,20,9,5,1,4,2,37000,0
Fortified0,19,20,5,1,4,2,50000,0
Fortified0,20,15.5,4,1,5,2,37000,0
Fortified0,19.5,14,4,1,5,2,47000,0
Fortified0,20,17,4,1,4,2,95000,0
Fortified0,20,15.5,5,1,4,1,60000,8
Fortified0,20,14.5,5,1,4,2,54000,6
Fortified0,19,13,4,2,4,2,70000,0
Fortified0,17.5,13,5,2,4,2,50000,0
Fortified1,19,20,2,4,5,1,232500,0
Fortified1,19,13,2,4,4,1,53000,0
Fortified1,19,13,2,4,5,1,70000,0
Fortified1,19,13,2,4,5,1,110000,0
Fortified1,19,13,2,4,5,1,130000,0
Fortified1,19,10,1,4,5,1,140000,0
Fortified1,20,13,1,4,5,2,190000,24
Fortified2,15.5,10,5,1,4,1,120000,42
Fortified2,14.5,8,5,2,5,1,57000,3
Fortified2,15.1,11,4,3,5,1,40000,0
Fortified2,15.5,9,5,1,4,2,40000,0
Fortified2,15,13,5,2,5,1,372000,0
Fortified2,15.5,7,5,1,4,1,60000,6
Fortified2,17.5,7,5,3,5,1,246000,0
Fortified3,19,20,5,2,5,2,127500,0
Fortified3,19,20,5,2,5,1,52000,0
Fortified3,20,15.5,5,3,5,2,500000,0
Fortified3,20,15,5,2,5,2,88500,0
Fortified3,20,17,5,2,5,2,95000,0
Fortified3,20,17,5,2,5,2,200000,0
Fortified3,20,19,5,2,5,2,78000,0
Fortified3,20,13,5,2,5,2,170000,0
Fortified3,17.5,20,4,3,4,1,42000,0
Fortified3,18,20,5,2,5,1,40000,0
Fortified3,17,17,5,2,5,2,27000,0
Fortified3,19,13,5,2,5,2,53000,0
Fortified3,19,13,4,2,5,1,110000,0
Fortified3,19,13,4,3,4,1,130000,0
Fortified3,19,13,5,3,5,2,130000,0
Fortified3,19,17,5,2,5,1,156000,22
Fortified3,17,15,5,2,5,1,44000,0
Fortified3,20,13,5,2,5,1,139000,0
Fortified3,20,12.5,5,3,5,1,55000,0
Fortified3,19.5,17,5,2,5,2,30000,0
Fortified3,20,13,4,3,5,2,180000,24
Fortified3,20,13,4,3,5,2,180000,24
Fortified3,17.5,13,5,3,5,1,55000,8
Fortified3,18,13,5,3,5,1,120000,23
Fortified3,16.5,17,5,2,5,2,151500,0
Fortified3,19.5,17,5,2,5,2,112500,0
Fortified3,19.5,17,5,2,5,2,157500,0
Fortified3,18.5,13,5,4,5,1,120000,23
Fortified3,19.5,15,5,3,5,1,30000,0
Fortified3,20,17,5,2,5,2,187500,0
Fortified4,20,19,2,2,4,2,107000,0
Fortified4,20,19,2,2,5,2,399000,0
Fortified4,20,15.5,2,2,5,2,76000,0
Fortified4,20,15.5,2,2,5,2,170000,0
Fortified4,20,16,2,2,5,2,282000,0
Fortified4,20,13,2,2,4,2,92000,0
Fortified4,19.5,20,2,2,4,2,31000,0
Fortified4,20.5,20,2,2,4,2,75000,0
Fortified4,19,20,2,2,5,1,209000,41
Fortified4,20,13,1,2,5,1,55000,0
Fortified4,18.5,15,1,2,5,2,35000,0
Fortified4,20,15,1,2,5,2,50000,0
Fortified5,15,19,2,3,4,2,34500,0
Fortified5,15,11,1,2,5,2,48000,0
Fortified5,17.5,11,1,2,5,2,68000,0
Fortified6,19,14,5,2,5,3,38000,0
Fortified6,18,11,5,2,5,3,40000,0
Fortified6,19.5,15,5,2,5,3,54000,0
Fortified6,19.5,14,5,2,5,3,62000,0
Fortified6,19.5,20,5,2,5,3,94000,7
Fortified6,20,13,4,2,5,3,370000,10
Fortified6,20,13,5,2,5,3,55500,0
Fortified6,20,17,5,2,5,3,35000,0
Fortified6,19.5,11,5,1,5,3,42000,0
Fortified6,19.5,15,5,3,5,3,30000,0
Fortified6,20.5,15,4,2,4,3,49000,0
Fortified7,19,9,1,2,4,1,51000,0
Fortified7,19,10,1,3,3,2,53000,0
Fortified7,19,10,1,3,3,2,70000,0
Fortified7,19,10,3,3,3,1,38000,0
