abv,degree,sweet,acidity,body,tannin,price,year
18.875,13.4375,4.75,2.625,4.875,1.125,86625,1
18.33333333,12.33333333,1,2,4.833333333,1.666666667,51166.66667,0
15.5,10,5,1,4,1,120000,42
19.10714286,17.85714286,5,2,5,1.928571429,102928.5714,0.5
19.57142857,14,4.714285714,1.785714286,4.928571429,2.642857143,56392.85714,0
19.21428571,14.57142857,3.714285714,3,5,1.428571429,165000,25.85714286
19,13.66666667,1.833333333,4,4.833333333,1,122583.3333,0
20,15.875,3.25,2.25,5,2.25,387750,2.5
15.51666667,9.166666667,4.833333333,2,4.666666667,1.166666667,135833.3333,1.5
19.45833333,15.54166667,4.666666667,1.166666667,4,1.916666667,85833.33333,2.25
19.0625,17.75,2.25,2.25,4.25,1.875,78437.5,0
19,10,1.666666667,3,3,1.666666667,53666.66667,0
