abv,degree,sweet,acidity,body,tannin,price,year
5.5,9,4,1,3,1,51000,4
4,9,3,2,2,1,9800,0
5.5,6,4,2,2,1,40000,11
9.5,7,4,1,1,1,27000,0
5,7,4,1,3,1,30000,0
4,7,4,1,2,1,15000,0
5,7,4,1,3,1,39600,0
6,7,4,2,2,1,38000,5
3,7,4,1,2,1,22000,0
3.5,7,4,2,3,1,20000,0
5.5,7,4,2,2,1,22500,0
12,8,2,3,3,1,9900,9
11,9,1,3,2,1,35000,14
11,9,1,3,2,1,46000,13
13,7,1,3,2,1,60000,4
12.5,7,1,3,3,1,28000,4
12.5,9,2,3,3,1,25000,4
12.5,9,1,3,3,1,64000,4
12.5,9,1,3,2,1,32000,4
13.5,9,1,3,2,1,77000,3
11.5,9,2,3,2,1,50000,4
12,9,1,4,2,1,56000,3
13.5,9,1,4,2,1,38000,3
13,7,1,3,2,1,91000,2
13.5,9,2,3,2,1,195000,8
10.5,10,2,2,2,1,30000,13
12.5,11,2,2,2,1,25000,18
9.5,13,3,2,2,1,80213.90374,0
9.5,13,2,2,2,1,22000,17
10.5,12.5,2,3,2,1,38000,14
9,11,2,2,2,1,22000,9
10.5,12,3,3,2,1,9900,0
13.5,13,3,3,2,1,37000,10
9.5,9,3,3,2,1,34000,0
8.5,11,3,2,2,1,12900,7
8.5,9,3,3,2,1,4990,0
11,9,3,3,2,1,30000,0
13,12,3,3,3,2,25000,13
13.5,13,1,4,2,2,15000,13
12.5,13,2,4,3,2,25000,3
13.5,9,1,3,3,2,140000,6
13.5,9,1,4,3,2,80000,10
12.5,11,1,3,3,2,45000,1
14,11,1,3,3,2,56000,5
12,9,1,4,3,2,33000,6
13.5,8.5,1,2,3,2,60000,3
13.5,9,1,2,3,2,37000,2
12.5,11,1,4,2,2,45000,3
12.5,9,1,4,3,2,80000,2
13.5,11,1,3,2,2,74000,3
13.5,11,1,3,2,2,46000,3
13.5,11,1,3,3,3,37000,2
11,11,3,2,3,1,9000,0
7.5,7,4,2,4,1,120000,10
15,11,4,2,3,1,9800,0
10,9,5,2,4,1,90000,0
9.5,9,4,2,2,1,45000,2
12,10,4,2,3,1,97500,9
11,11,4,2,2,2,26400,6
8.5,11,3,3,3,1,14900,0
11.5,9,3,3,3,1,19800,3
10.5,9,3,3,3,1,35000,2
11.5,11,3,3,3,1,55000,2
11.5,12,2,3,3,1,18000,13
10,13,1,3,3,1,15000,0
13,12,1,3,3,1,22000,9
11,10,1,3,3,1,42000,14
12.5,11,1,3,3,1,52000,4
13.5,13,1,3,3,1,47000,6
13.5,11,1,3,3,1,28000,11
12.5,12.5,1,3,3,1,25000,3
13.5,13,1,3,3,1,108000,13
12,11,1,3,3,1,30000,11
13.5,11,1,3,4,1,300000,6
11.5,11,1,3,3,1,32000,4
12,12,2,3,3,1,25000,8
12.5,13,1,3,3,1,58000,4
13,11,1,3,3,1,50000,8
12.5,13,1,3,3,1,35000,7
13,10,1,3,3,1,66000,3
13,13,1,3,3,1,80000,6
12.2,13,1,3,3,1,60000,5
12,12,2,3,3,1,35000,6
13,13,1,3,3,1,65000,2
12.5,13,1,4,3,1,75000,3
12.5,11,1,3,3,1,60000,6
11.5,11,1,5,3,1,15000,5
13,13,1,3,3,1,50000,4
14.1,11,1,3,3,1,59000,4
12.5,13,1,3,3,1,58000,4
11.9,12,1,3,3,1,83000,3
13.5,11,1,3,3,1,36000,2
13.4,15,2,5,3,3,95000,8
11.5,17,1,4,4,2,52000,8
13,12,1,3,2,1,60000,7
12.5,11.5,2,3,2,1,40000,14
13.5,17,1,3,2,1,39000,8
11.5,13,1,3,2,1,24000,16
12.5,11,2,3,2,1,22000,13
12,13,2,3,2,1,84000,14
13,13,1,3,2,1,23000,12
12.5,12,2,4,2,1,27500,14
13.5,13,1,4,2,1,33500,14
13,13,2,3,2,1,29000,14
12,13,2,2,1,1,28000,11
12.5,13,1,4,2,1,51000,6
12.5,11,1,3,2,1,18000,3
12.5,13,2,3,2,1,36000,3
12.5,11,1,3,2,1,26000,3
12.5,13,1,2,2,1,90000,8
10.5,12,1,3,2,1,33000,7
13,13,1,2,2,1,66000,5
12.5,12,1,3,2,1,12900,5
13,12,1,3,2,1,18900,5
11.5,12,1,2,2,1,75000,4
12.5,13,1,3,2,1,70000,3
11.5,13,1,3,2,1,35000,3
14.5,16,1,3,2,1,36000,5
12.5,11,1,3,2,1,55000,2
12.5,11,1,3,2,1,22000,2
13.5,11,1,3,2,1,82000,2
12.5,11,1,4,2,1,19900,3
12.5,11,1,3,2,1,40000,1
