Label,abv,degree,sweet,acidity,body,tannin,price,year
Sparkling0,12.5,7,1,5,3,1,150000,0
Sparkling0,12.5,7,1,5,4,1,240000,8
Sparkling0,12.5,8,1,5,4,1,250000,9
Sparkling0,12.5,7,1,5,4,1,230000,13
Sparkling0,11.5,6,1,5,3,1,52500,0
Sparkling0,12,7,1,5,4,2,220000,0
Sparkling0,12.5,7,1,5,3,1,530000,14
Sparkling0,12,7,1,5,3,1,120000,0
Sparkling0,12.5,7,1,5,4,1,170000,0
Sparkling0,12,7,1,5,4,1,317000,0
Sparkling0,12,9,1,5,3,1,420000,0
Sparkling0,12,7,1,5,3,1,700000,0
Sparkling0,12,7,1,5,3,1,200000,0
Sparkling0,12,7,1,5,3,1,900000,15
Sparkling0,12.5,7,1,5,3,1,89000,17
Sparkling0,12.5,7,1,5,3,1,160000,0
Sparkling0,12,8,1,5,3,1,198000,0
Sparkling0,12,8,1,5,4,1,407000,13
Sparkling0,12,7,1,5,3,1,267000,0
Sparkling0,12,7,1,5,3,1,237000,21
Sparkling0,12.5,10,1,5,3,1,225000,0
Sparkling0,12,7,1,5,3,1,220000,18
Sparkling0,12,7,1,5,3,1,88500,0
Sparkling0,12,7,1,5,4,1,350000,0
Sparkling0,12,7,1,5,4,1,600000,15
Sparkling0,12,7,1,5,4,1,210000,0
Sparkling0,12.5,9,1,5,4,1,133000,15
Sparkling0,12,8,1,5,3,1,351000,0
Sparkling0,12,8,1,5,3,1,342000,21
Sparkling0,12.5,8,1,5,3,1,435000,19
Sparkling0,12,7,1,5,3,1,76000,0
Sparkling0,12.5,8,1,5,3,1,405000,24
Sparkling0,12.5,8,1,5,3,1,357000,0
Sparkling0,12.5,8,1,5,3,1,396000,14
Sparkling0,12,8,1,5,3,1,447000,0
Sparkling0,12.5,8,1,5,4,1,495000,0
Sparkling0,12,8,1,5,3,1,294000,0
Sparkling0,12,8,1,5,3,1,324000,19
Sparkling0,12.5,8,1,5,3,1,462000,21
Sparkling0,12,8,1,5,3,1,297000,23
Sparkling0,12.5,8,1,5,3,1,600000,16
Sparkling0,12,8,1,5,3,1,300000,19
Sparkling0,12,8,1,5,3,1,354000,19
Sparkling0,12,8,1,5,3,1,855000,31
Sparkling0,12,7,1,5,3,1,594000,23
Sparkling0,12.5,8,1,5,3,1,294000,0
Sparkling0,12,7,1,5,3,1,65000,0
Sparkling0,12.5,9,2,5,3,1,150000,0
Sparkling0,12,7,1,5,4,1,836000,14
Sparkling0,12,7,1,5,3,1,300000,10
Sparkling0,11.5,7,1,5,3,1,160000,0
Sparkling0,12.5,8,1,5,4,1,650000,0
Sparkling0,12,7,1,5,3,1,175000,0
Sparkling0,12,7,1,5,3,1,110000,0
Sparkling0,12.5,7,1,5,4,1,120000,0
Sparkling0,12,7,1,5,3,1,339000,8
Sparkling0,12.5,7,1,5,4,1,286000,0
Sparkling0,12.5,7,1,5,3,1,174000,0
