abv,degree,sweet,acidity,body,tannin,price,year
12.5,11,1,3,2,1,36000,13
12.5,9,2,3,2,1,25000,3
13.8,9,1,3,2,1,40000,14
12,11,1,3,2,1,25000,17
11,9,1,3,2,1,13000,0
12.5,11,1,3,2,1,30000,1
12.5,9,1,3,2,1,54000,11
13,9,1,3,2,1,35000,10
13,11,1,3,2,1,30000,18
13.8,11,1,3,2,1,65000,5
12,11,1,3,2,1,35000,13
15,11,1,3,2,1,33000,9
13.5,11,1,3,2,1,100000,11
13.5,11,1,3,2,1,52000,16
13.5,11,1,3,2,1,71000,6
11.5,11,1,3,2,1,9000,0
11.5,11,1,3,2,1,15000,0
13.5,11.5,1,3,2,1,33000,19
11.5,10,1,3,2,1,18000,17
12.5,11,1,3,1,1,18700,17
12,11,1,3,2,1,17000,4
14,11,1,3,2,1,29000,10
13.5,11,1,3,2,1,48000,9
12.5,11,1,3,2,1,43000,4
12.5,11,1,3,2,1,34000,3
12,11,1,3,2,1,30000,14
14.5,11,1,3,2,1,77000,3
13.5,11,1,3,2,1,45000,3
11.5,11,2,2,2,1,21000,11
11.5,11,2,3,2,1,24000,3
13.7,10,1,3,2,1,27000,16
12.5,11,1,3,2,1,14000,17
13,11,1,3,2,1,20000,16
11,11,1,3,2,1,15000,0
12.5,11,1,3,2,1,24000,8
12,11,1,3,2,1,27000,17
12.5,11,2,2,2,1,22000,11
13,11,1,3,2,1,20000,15
11,11,2,3,2,1,44000,0
13,11,1,3,2,1,58000,17
11.5,17,1,3,2,1,27000,14
13.5,11,1,3,2,1,42000,15
13,11,2,3,2,1,33000,16
12,9,1,2,2,1,25000,16
12,11,1,3,2,1,25000,16
12,9,1,3,2,1,50000,10
12.5,9,1,3,2,1,35200,15
13,11,2,3,2,1,21000,8
12,11,1,3,2,1,35000,11
12,11,1,3,2,1,45000,11
12.5,11,1,3,2,1,50000,13
12.5,11,1,3,2,1,50000,12
13.5,11,1,3,2,1,53000,14
12.9,11,1,3,2,1,38000,15
13.5,10.5,1,3,2,1,80000,17
13.5,11,1,3,2,1,23500,16
13.5,11,1,3,2,1,29000,4
14,9,1,3,2,1,35000,13
13.5,12,1,3,2,1,40000,9
13,10,1,3,2,1,33000,14
12.5,13,1,3,2,1,65000,2
13.5,11,1,3,2,1,55000,13
13.5,11,1,3,2,1,34000,15
13.5,11,1,3,2,1,22000,14
13.4,11,1,3,2,1,19000,14
12,10,1,3,2,1,110000,14
12,11,1,3,2,1,28000,14
13,9,1,3,2,1,30000,8
14,11,1,3,2,1,84000,14
11.5,17,1,3,2,1,5900,0
12.5,9.5,2,3,2,1,91500,15
13.5,9.5,2,3,2,1,111000,16
13,11,1,3,2,1,90000,2
12.5,11,1,3,2,1,61000,14
13.5,11,1,3,2,1,28000,13
14,11,1,3,2,1,28000,13
14.5,11,1,3,2,1,35000,12
13,11,1,3,2,1,24000,12
14,11,1,3,2,1,35000,15
14.5,11,1,3,2,1,104000,6
12,11,2,3,2,1,15600,12
13,11,1,3,2,1,29800,13
12.5,11,1,3,2,1,30000,2
14,9,1,3,2,1,36000,12
12,11,1,3,1,1,25000,2
13.5,12,1,3,2,1,35000,12
11.5,9,2,3,2,1,7000,0
12,11,1,3,2,1,35000,14
14,11,1,3,2,1,50000,4
12.5,11,1,3,2,1,30000,3
13.5,9,1,3,2,1,12900,3
13.9,10,1,3,2,1,80000,6
13,11,1,3,2,1,31000,10
13.5,17,1,3,2,1,22000,8
13,9,1,3,2,1,64000,2
12,10,2,3,2,1,13000,0
12.5,10,1,3,2,1,31000,4
13,10,1,3,2,1,140000,9
11,11,1,3,2,1,18000,0
12,11,1,3,2,1,35000,12
13.3,11,1,3,2,1,48000,8
11,10,2,3,2,1,20000,0
12.5,11,2,3,2,1,36000,13
13.5,9,1,3,2,1,55000,10
12,11,2,2,2,1,18000,14
13,11,1,3,2,1,22000,14
12,11,2,2,2,1,8750,0
13,11,1,3,2,1,29000,12
12,11,1,3,2,1,34000,2
13.5,11,1,3,2,1,26000,11
13.5,13,1,3,2,1,25000,12
12.5,11,1,3,2,1,36000,5
13,10,1,3,2,1,38000,6
12,11,1,3,2,1,14800,0
12.5,11,1,3,2,1,27000,4
13.5,11,1,3,2,1,28000,10
12,11,1,3,2,1,7900,0
13,11,1,3,2,1,35000,12
12.5,11,1,3,1,1,67500,7
12.5,10,2,3,2,1,9900,0
13,9,2,3,2,1,9900,0
13,11,2,3,2,1,37000,8
12,11,2,3,2,1,25000,10
13.5,10,2,3,2,1,35000,9
12,11,1,3,2,1,42000,7
13,9,1,3,2,1,64000,3
13,11,1,3,2,1,20000,7
12.5,8.5,1,3,2,1,42000,4
13,11,1,3,2,1,19000,10
13,11,2,3,1,1,32000,9
13.5,7.5,1,3,2,1,27000,4
11,13,1,3,2,1,9000,0
12.5,11,1,3,1,1,25000,10
13.5,11,1,3,2,1,45000,5
11.5,8,1,3,2,1,32000,8
10.5,10,2,2,2,1,35000,9
13.5,9,1,3,2,1,60000,6
13.5,11,1,3,2,1,55000,6
13.5,9,1,3,2,1,38000,10
14,9,1,3,2,1,42000,4
13,10,1,3,2,1,32000,9
12.5,11,1,3,2,1,25000,8
13,11,1,3,2,1,21000,6
12.5,9,1,3,2,1,19000,4
12.5,11.5,1,3,1,1,20000,8
13,11,1,3,2,1,45000,0
14,11,1,3,2,1,26000,3
13,11,1,3,2,1,24000,1
12.5,11.5,1,3,1,1,21000,1
13.5,11,1,3,1,1,30000,8
13,9,1,3,2,1,24000,8
13.5,9,1,3,2,1,48000,4
12.5,9,2,3,2,1,25000,4
13,11,1,2,2,1,35000,9
13.5,9,1,3,2,1,88000,2
13.5,11,1,2,2,1,78000,4
12.5,11,1,3,2,1,46000,4
