abv,degree,sweet,acidity,body,tannin,price,year
8.1,6.6,3,2,2,1,31600,0
6.5,7.5,3,2.25,2,1,10450,0
8.5,60,3,1,4,1,18000,0
10.5,7.5,3,2,2,1,7447.5,0
10,65,3,2,5,1,12750,0
7,9,1,3,1,1,33000,0
25,20,1,3,3,1,31928.57143,0
8.5,65,3,4,4,2,29250,0
7.5,9,2,3,2,2,33000,0
6.3,5,1,4,2,1,12500,0
7.55,7,3,2,2,1,16287.5,0
6.25,7,3,1,3,1,17550,0
18.875,13.4375,4.75,2.625,4.875,1.125,86625,1
18.33333333,12.33333333,1,2,4.833333333,1.666666667,51166.66667,0
15.5,10,5,1,4,1,120000,42
19.10714286,17.85714286,5,2,5,1.928571429,102928.5714,0.5
19.57142857,14,4.714285714,1.785714286,4.928571429,2.642857143,56392.85714,0
19.21428571,14.57142857,3.714285714,3,5,1.428571429,165000,25.85714286
19,13.66666667,1.833333333,4,4.833333333,1,122583.3333,0
20,15.875,3.25,2.25,5,2.25,387750,2.5
15.51666667,9.166666667,4.833333333,2,4.666666667,1.166666667,135833.3333,1.5
19.45833333,15.54166667,4.666666667,1.166666667,4,1.916666667,85833.33333,2.25
19.0625,17.75,2.25,2.25,4.25,1.875,78437.5,0
19,10,1.666666667,3,3,1.666666667,53666.66667,0
38,13,1,1,5,1,660000,19
39.71428571,11.35714286,1.142857143,1,4.857142857,1,253214.2857,1
45,20,1.333333333,1,5,1,513500,0
38,11,1,3,5,1,217500,19
40,20,1,3,3,1,16500,0
38.5,14.2,1,1,4.9,1,290207.1429,18.6
40,20,1,1,3,1,148163.2653,0
40.2,20,1.4,1,5,1,128442.8571,0
70,12,4,1,5,1,150000,0
35,14,4,1,3,1,64285.71429,0
60,11.25,1.75,1,4.5,1,132321.4286,0
38,20,1,1,5,1,202785.7143,19
13.74698854,16.79050736,1.027823241,3.137479542,4.001636661,2.967266776,118906.4812,5.978723404
13.37135621,16.92565359,1.017973856,3.35130719,2.960784314,3.142156863,107753.4314,14.48202614
13.08691983,16.12236287,1.135021097,3.274261603,2.721518987,1.987341772,79985.78319,4.902953586
13.13041825,16.11406844,1.030418251,4.353612167,2.66539924,2.178707224,164198.0989,13.58935361
14.29666667,16.94202899,1.031884058,4.026086957,5,4.376811594,375168.1159,7.828985507
13.46802632,16.69342105,1.034210526,2.930263158,2.969736842,3.069736842,60348.06575,5.330263158
14.06832543,16.95181675,1.006319115,2.943127962,3.995260664,4.086887836,120683.0332,6.308056872
14.42450549,17.06373626,1.063736264,2.916483516,5,4.112087912,243616.7033,7.30989011
13.93720403,16.79345088,1.032745592,4.065491184,3.9697733,4.110831234,182313.3501,7.926952141
9.886666667,12.78888889,3.822222222,1.744444444,2.844444444,2.1,53910.55556,2.922222222
