id,name,nation,local1,local2,local3,local4,type,use,abv,degree,sweet,acidity,body,tannin,price,year,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12
1,Altair,Chile,Rapel Valley,,,,Red,Table,14.5,18,1,4,5,4,220000,7,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,"Altair, Sideral",Chile,Rapel Valley,,,,Red,Table,14.5,17,1,3,4,4,110000,5,0,2,1,3,4,5,-1,-1,-1,-1,-1,-1
3,"Calvet, Bordeaux Red",France,Bordeaux,,,,Red,Table,13.5,17,1,3,2,3,21000,10,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,"Calvet, Bordeaux white",France,Bordeaux,,,,White,Table,11.5,10,1,4,2,1,21000,11,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,"Calvet, Varietals Cabernet Sauvignon",France,Southern France,Languedoc Roussillon,,,Red,Table,13.5,17,1,3,2,3,19000,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,"Calvet, Varietals Merlot",France,Southern France,Languedoc Roussillon,,,Red,Table,13.5,17,1,3,3,3,19000,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,"Calvet, Reserve Bordeaux white",France,Bordeaux,,,,White,Table,11.5,10,1,4,2,1,28000,10,6,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,"Calvet, Premieres Cotes de Bordeaux",France,Bordeaux,Premieres Cotes de Bordeaux,,,White,Dessert,13,11,2,4,3,1,18000,12,7,6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,"Calvet, Medoc",France,Bordeaux,Medoc,,,Red,Table,12.5,17,1,4,3,3,32000,6,0,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1
10,"Calvet, Saint Emilion",France,Bordeaux,SaintEmilion,,,Red,Table,12.5,17,1,3,2,2,42000,11,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,Tavernello Rosato Frizzante,Italy,EmiliaRomagna,,,,Rose,Table,11,11,3,2,3,1,9000,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,Tavernello Bianco Fizzante,Italy,EmiliaRomagna,,,,White,Table,11,11,3,2,3,1,9000,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,La Carillon de l'Angelus,France,Bordeaux,SaintEmilion Grand Cru,,,Red,Table,13.5,17,1,3,4,4,250000,4,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,Chateau Brillette,France,Bordeaux,Moulis,,,Red,Table,13.5,17,1,4,3,3,85000,8,2,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1
15,Le Bailly de Camensac,France,Bordeaux,HautMedoc,,,Red,Table,13.5,17,1,4,4,3,50000,15,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,L'oratoire de Chasse Spleen,France,Bordeaux,,,,Red,Table,13,17,1,4,3,4,50000,4,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,Chateau Durfort Vivens,France,Bordeaux,Margaux,,,Red,Table,13.5,17,1,4,4,4,140000,4,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,La sirene de Giscours,France,Bordeaux,Margaux,,,Red,Table,12.5,17,1,3,4,3,80000,5,0,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1
19,Chateau Haut Bages Averous,France,Bordeaux,Pauillac,,,Red,Table,13.5,17,1,4,4,5,120000,6,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,Chateau La Gurgue,France,Bordeaux,Margaux,,,Red,Table,13,17,1,4,4,4,130000,12,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,"Concha y Toro, Carmin de Peumo",Chile,Rapel Valley,Cachapoal Valley,Peumo,,Red,Table,14.5,17,1,3,5,5,450000,8,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,"Concha y Toro, Sunrise Cabernet Sauvignon",Chile,Central Valley,,,,Red,Table,13.5,17,1,3,3,3,22000,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,"Concha y Toro, Sunrise Carmenere",Chile,Central Valley,,,,Red,Table,13.5,17,1,3,3,3,22000,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,"Concha y Toro, Terrunyo Cabernet Sauvignon",Chile,Maipo Valley,,,,Red,Table,14.5,17,1,4,3,4,100000,6,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
