,id,name,nation,local1,local2,local3,local4,type,use,abv,degree,sweet,acidity,body,tannin,price,year,varieties1,varieties2,varieties3,varieties4,varieties5,varieties6,varieties7,varieties8,varieties9,varieties10,varieties11,varieties12,Label
0,1,Altair,Chile,Rapel Valley,,,,Red,Table,14.5,18.0,1,4,5,4,220000.0,7,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red2
1,2,"Altair, Sideral",Chile,Rapel Valley,,,,Red,Table,14.5,17.0,1,3,4,4,110000.0,5,0,2,1,3,4,5,-1,-1,-1,-1,-1,-1,Red4
2,3,"Calvet, Bordeaux Red",France,Bordeaux,,,,Red,Table,13.5,17.0,1,3,2,3,21000.0,10,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red3
3,4,"Calvet, Bordeaux white",France,Bordeaux,,,,White,Table,11.5,10.0,1,4,2,1,21000.0,11,6,7,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,White8
4,5,"Calvet, Varietals Cabernet Sauvignon",France,Southern France,Languedoc Roussillon,,,Red,Table,13.5,17.0,1,3,2,3,19000.0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red3
5,6,"Calvet, Varietals Merlot",France,Southern France,Languedoc Roussillon,,,Red,Table,13.5,17.0,1,3,3,3,19000.0,10,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red3
6,7,"Calvet, Reserve Bordeaux white",France,Bordeaux,,,,White,Table,11.5,10.0,1,4,2,1,28000.0,10,6,7,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,White8
7,8,"Calvet, Premieres Cotes de Bordeaux",France,Bordeaux,Premieres Cotes de Bordeaux,,,White,Dessert,13.0,11.0,2,4,3,1,18000.0,12,7,6,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,White6
8,9,"Calvet, Medoc",France,Bordeaux,Medoc,,,Red,Table,12.5,17.0,1,4,3,3,32000.0,6,0,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1,Red8
9,10,"Calvet, Saint Emilion",France,Bordeaux,SaintEmilion,,,Red,Table,12.5,17.0,1,3,2,2,42000.0,11,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red10
10,11,Tavernello Rosato Frizzante,Italy,EmiliaRomagna,,,,Rose,Table,11.0,11.0,3,2,3,1,9000.0,0,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Rose8
11,12,Tavernello Bianco Fizzante,Italy,EmiliaRomagna,,,,White,Table,11.0,11.0,3,2,3,1,9000.0,0,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,White1
12,13,La Carillon de l'Angelus,France,Bordeaux,SaintEmilion Grand Cru,,,Red,Table,13.5,17.0,1,3,4,4,250000.0,4,2,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red4
13,14,Chateau Brillette,France,Bordeaux,Moulis,,,Red,Table,13.5,17.0,1,4,3,3,85000.0,8,2,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,Red8
14,15,Le Bailly de Camensac,France,Bordeaux,HautMedoc,,,Red,Table,13.5,17.0,1,4,4,3,50000.0,15,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red9
15,16,L'oratoire de Chasse Spleen,France,Bordeaux,,,,Red,Table,13.0,17.0,1,4,3,4,50000.0,4,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red8
16,17,Chateau Durfort Vivens,France,Bordeaux,Margaux,,,Red,Table,13.5,17.0,1,4,4,4,140000.0,4,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red6
17,18,La sirene de Giscours,France,Bordeaux,Margaux,,,Red,Table,12.5,17.0,1,3,4,3,80000.0,5,0,2,3,5,-1,-1,-1,-1,-1,-1,-1,-1,Red0
18,19,Chateau Haut Bages Averous,France,Bordeaux,Pauillac,,,Red,Table,13.5,17.0,1,4,4,5,120000.0,6,0,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red6
19,20,Chateau La Gurgue,France,Bordeaux,Margaux,,,Red,Table,13.0,17.0,1,4,4,4,130000.0,12,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red6
20,21,"Concha y Toro, Carmin de Peumo",Chile,Rapel Valley,Cachapoal Valley,Peumo,,Red,Table,14.5,17.0,1,3,5,5,450000.0,8,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red5
21,22,"Concha y Toro, Sunrise Cabernet Sauvignon",Chile,Central Valley,,,,Red,Table,13.5,17.0,1,3,3,3,22000.0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red3
22,23,"Concha y Toro, Sunrise Carmenere",Chile,Central Valley,,,,Red,Table,13.5,17.0,1,3,3,3,22000.0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red3
23,24,"Concha y Toro, Terrunyo Cabernet Sauvignon",Chile,Maipo Valley,,,,Red,Table,14.5,17.0,1,4,3,4,100000.0,6,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,Red8
24,25,"Concha y Toro, Terrunyo Carmenere",Chile,Rapel Valley,,,,Red,Table,14.5,17.0,1,3,4,4,100000.0,4,1,0,5,3,-1,-1,-1,-1,-1,-1,-1,-1,Red4
