,price,count,avg
Chile,50956790.0,868.0,58705.97926267281
France,410002717.82750005,2102.0,195053.62408539487
Italy,207390343.1933,1726.0,120156.62989183083
USA,213688083.7968,1259.0,169728.42239618744
Germany,17646379.22084,137.0,128805.68774335766
Spain,58034430.0,763.0,76060.85190039319
Australia,58576100.0,563.0,104042.80639431617
New Zealand,11945900.0,154.0,77570.77922077922
Argentina,16559000.0,260.0,63688.46153846154
Portugal,9723742.246,113.0,86050.81633628318
the Republic of South Africa,7720159.09092,130.0,59385.83916092308
Israel,102000.0,1.0,102000.0
Canada,4985000.0,21.0,237380.95238095237
Hungary,1736000.0,14.0,124000.0
Romania,190000.0,6.0,31666.666666666668
Others,31928.57143,1.0,31928.57143
Austria,4718000.0,44.0,107227.27272727272
Greece,6062500.0,58.0,104525.86206896552
Korea,563000.0,10.0,56300.0
Georgia,282750.0,13.0,21750.0
Bulgaria,128000.0,3.0,42666.666666666664
Uruguay,610000.0,4.0,152500.0
UK,49900.0,1.0,49900.0
Japan,319000.0,3.0,106333.33333333333
Slovenia,2375000.0,19.0,125000.0
Moldova,136000.0,2.0,68000.0
Croatia,314960.0,6.0,52493.333333333336
