,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,Argentina,Australia,Austria,Bulgaria,Canada,Chile,Croatia,France,Georgia,Germany,Greece,Hungary,Israel,Italy,Japan,Korea,Moldova,NewZealand,Portugal,Romania,Slovenia,Spain,SouthAfrica,UK,Uruguay,USA
2,25000,25000,45000,60000,375000,225000,125000,25000,35000,25000,60000,225000,125000,5000,85000,35000,60000,60000,125000,35000,325000,125000,60000,45000,60000,15000
3,25000,25000,225000,35000,175000,125000,25000,25000,25000,175000,45000,35000,,5000,125000,35000,85000,60000,60000,15000,85000,15000,60000,,175000,5000
4,60000,35000,35000,35000,125000,375000,25000,15000,15000,25000,225000,125000,,35000,85000,45000,,60000,125000,35000,85000,15000,35000,,325000,5000
5,60000,125000,45000,,25000,25000,60000,15000,25000,15000,125000,225000,,35000,,45000,,85000,60000,35000,125000,45000,60000,,60000,60000
6,125000,35000,85000,,25000,25000,60000,25000,5000,35000,85000,375000,,45000,,125000,,60000,375000,25000,125000,15000,60000,,,60000
7,85000,25000,175000,,375000,125000,35000,15000,15000,125000,45000,45000,,85000,,35000,,45000,45000,60000,175000,85000,60000,,,60000
8,35000,25000,225000,,375000,125000,,35000,15000,325000,125000,175000,,125000,,60000,,45000,85000,,125000,85000,125000,,,85000
9,35000,25000,225000,,375000,25000,,45000,15000,45000,60000,85000,,225000,,85000,,45000,35000,,125000,25000,35000,,,85000
10,35000,175000,225000,,375000,25000,,275000,25000,375000,60000,85000,,25000,,35000,,175000,35000,,125000,15000,85000,,,85000
11,125000,125000,375000,,375000,15000,,85000,5000,85000,225000,85000,,60000,,60000,,175000,85000,,175000,60000,175000,,,175000
12,25000,175000,125000,,375000,15000,,60000,35000,125000,85000,45000,,125000,,,,85000,175000,,175000,5000,85000,,,125000
13,15000,125000,85000,,225000,45000,,60000,35000,60000,85000,225000,,225000,,,,85000,275000,,85000,5000,25000,,,5000
14,15000,375000,225000,,275000,45000,,125000,25000,85000,85000,45000,,35000,,,,60000,45000,,125000,5000,35000,,,375000
15,25000,60000,35000,,275000,25000,,85000,,375000,60000,45000,,45000,,,,60000,85000,,125000,60000,35000,,,60000
16,25000,85000,60000,,175000,25000,,125000,,60000,25000,,,35000,,,,85000,175000,,125000,85000,60000,,,35000
17,25000,85000,85000,,85000,25000,,125000,,175000,125000,,,85000,,,,45000,325000,,60000,60000,35000,,,45000
18,125000,375000,45000,,85000,25000,,25000,,175000,325000,,,125000,,,,35000,375000,,85000,85000,125000,,,35000
19,35000,375000,85000,,85000,45000,,35000,,45000,45000,,,45000,,,,35000,35000,,125000,225000,85000,,,45000
20,85000,375000,85000,,175000,25000,,25000,,85000,35000,,,15000,,,,35000,85000,,85000,5000,60000,,,45000
21,25000,375000,85000,,60000,15000,,35000,,125000,325000,,,15000,,,,35000,35000,,,5000,15000,,,5000
22,45000,60000,225000,,175000,45000,,35000,,25000,175000,,,25000,,,,85000,60000,,,85000,15000,,,125000
23,45000,125000,125000,,,25000,,35000,,35000,85000,,,25000,,,,60000,60000,,,45000,35000,,,60000
24,125000,125000,35000,,,25000,,45000,,125000,175000,,,85000,,,,60000,35000,,,45000,25000,,,35000
25,125000,60000,85000,,,125000,,25000,,60000,85000,,,35000,,,,35000,85000,,,25000,35000,,,35000
26,45000,225000,35000,,,45000,,85000,,85000,60000,,,175000,,,,35000,25000,,,35000,35000,,,60000
27,45000,85000,45000,,,25000,,45000,,60000,60000,,,85000,,,,45000,25000,,,25000,45000,,,60000
28,375000,85000,60000,,,25000,,45000,,175000,60000,,,35000,,,,45000,25000,,,45000,45000,,,60000
29,175000,35000,60000,,,25000,,60000,,225000,60000,,,125000,,,,35000,85000,,,25000,35000,,,85000
30,275000,35000,60000,,,60000,,15000,,45000,45000,,,275000,,,,35000,225000,,,175000,35000,,,15000
31,45000,225000,85000,,,25000,,15000,,35000,85000,,,60000,,,,35000,60000,,,375000,60000,,,60000
32,45000,85000,125000,,,45000,,175000,,35000,60000,,,60000,,,,175000,60000,,,375000,60000,,,25000
33,45000,60000,60000,,,45000,,275000,,25000,60000,,,60000,,,,325000,60000,,,25000,35000,,,25000
34,25000,85000,60000,,,25000,,35000,,35000,15000,,,60000,,,,275000,60000,,,35000,35000,,,375000
35,25000,85000,85000,,,15000,,35000,,25000,25000,,,45000,,,,60000,85000,,,60000,35000,,,125000
36,125000,125000,85000,,,25000,,45000,,25000,35000,,,85000,,,,375000,85000,,,85000,35000,,,60000
37,125000,85000,125000,,,25000,,60000,,25000,60000,,,60000,,,,125000,45000,,,35000,15000,,,375000
